 OBJECTID, Station Identifier, Station Name, Fuel Type Provided, Street Address, City Name, State Name, Postal Zipcode, Postal Route (US Addresses), Location Directions, Country Name, Phone Number, Station Status, Estimated Fuel Availability, Station Accessability, Access Restrictions, Access Days and Times, Accepted Payment Methods, Type of Ownership, Name of Owner, Blends of Biodiesel, Can Blend Ethanol, Ethanol Blends Available, CNG Dispenser Count, CNG Dispensing Capability, CNG Pressures Available (PSI), CNG Renewable Source, CNG Total Compression (CFM), CNG Total Storage (CF), CNG Max Vehicle Size, LNG Renewable Source, LNG Max Vehicle Size, LPG Nozzle Types Available, LPG Primary Station, Renewable Diesel Blends Available, Is Renewable Diesel Blended w/Biodiesel, Max Level of Biodiesel Blending, EV Level 1 EVSE Ports, EV Level 2 EVSE Ports, EV DC Fast Ports, EV Other EVSE Ports, EV Connector Types, EV Network Name, EV Network ID, EV Network Link, EV Pricing, EV Renewable Source, HY Is Retail, HY Pressures (BAR), HY Standards, HY Status Link, Station Coordinate Accuracy, Station Latitude (DD), Station Longitude (DD), Date Fuel Available, Date Details Confirmed, Date Details Updated, Location Facility Type, Indications d'emplacement (French), Jours et heures d'accès (French), Mélanges de biodiesel (French), Mélanges de diesel renouvelables disponibles (French), Tarification des VÉ (French), Has Access Restrictions,x,y
2509,36371,Lane Community College,Electric,4000 E 30th Ave,Eugene,OR,97405,,Under solar canopy; Lot B,United States,541-463-5558,Available,,Public,,Drivers must bring their own J1772 cordset for Level 1 charging; 3 hour limit,,Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,20,20,,,"J1772, NEMA 5-20",Non-Networked,,,Free,SOLAR,,,,,Point,44.009797,-123.033213,9/5/2010 12:00:00 AM,5/12/2025 12:00:00 AM,5/12/2025 4:15:59 PM,College Campus,,,,,,False,-13695994.6218,5466958.4168
2608,37170,HILLSBORO OR MAIN ST 1,Electric,150 E Main St,Hillsboro,OR,97123,,In Front of City Hall,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL214301,https://www.chargepoint.com,,,,,,,GPS,45.522609,-122.988535,11/15/2010 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:17:54 AM,,,,,,,False,-13691021.0896,5704174.2499
2609,37171,HILLSBORO OR ITF EV-8,Electric,253 SE 8th Ave,Hillsboro,OR,97123,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL5444241,https://www.chargepoint.com,,,,,,,GPS,45.520533,-122.978089,11/15/2010 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:49:22 AM,,,,,,,False,-13689858.2462,5703844.41
2610,37181,BELLEVUE BELLEVUE CH 1,Electric,450 110th Ave NE,Bellevue,WA,98004,,Visitor Parking. First Left-hand Turn.,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL479461,https://www.chargepoint.com,,,,,,,GPS,47.614744,-122.193162,12/15/2010 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:22:28 AM,,,,,,,False,-13602480.5723,6042999.615
2626,37651,Oregon Museum of Science and Industry (OMSI) - North Parking Lot,Electric,1945 SE Water Ave,Portland,OR,97214,,Near building in north parking lot,United States,800-955-6674,Available,,Public,,24 hours daily; for customer use only,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,Free,,,,,,GPS,45.509326,-122.666392,10/15/2008 12:00:00 AM,5/12/2025 12:00:00 AM,5/12/2025 4:15:59 PM,Museum,,,,,,True,-13655160.2949,5702064.0248
2650,38082,KING COUNTY DES ISSAQUAH P&R 2,Electric,1755 Highlands Dr NE,Issaquah,WA,98027,,garage,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL5420341,https://www.chargepoint.com,,,,,,,GPS,47.545324,-122.0195,2/15/2008 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:48:14 AM,,,,,,,False,-13583148.6068,6031543.5483
2651,38083,King County - King County Van Distribution Center,Electric,18655 NE Union Hill Rd,Redmond,WA,98052,,Off NE Union Hill Road between 188th Ave NE and 178th Pl NE,United States,,Available,,Private,,Fleet use only,,Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,,3,,,J1772,Non-Networked,,,,,,,,,Point,47.675897,-122.091237,7/15/2011 12:00:00 AM,7/3/2025 12:00:00 AM,7/3/2025 7:15:09 PM,Municipal Government,,,,,,,-13591134.3332,6053104.0226
2703,38952,UWB CASCADIA CC NORTH LEVEL 3 N,Electric,18500 Campus Way NE,Bothell,WA,98011,,Just to the right as you enter the north garage.,United States,888-758-4389,Available,,Public,,Mon: 6:00am-10:00pm; Tue: 6:00am-10:00pm; Wed: 6:00am-10:00pm; Thu: 6:00am-10:00pm; Fri: 6:00am-10:00pm; Sat: 6:00am-10:00pm; Sun: 6:00am-10:00pm,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL205055,https://www.chargepoint.com,,,,,,,GPS,47.761878,-122.191915,3/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:53 AM,,,,,,,False,-13602341.7569,6067330.8509
2704,38959,CITY OF REDMOND CITY HALL DUAL,Electric,15670 NE 85th St,Redmond,WA,98052,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL134377,https://www.chargepoint.com,,,,,,,GPS,47.679224,-122.12995,3/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:07:54 AM,,,,,,,False,-13595443.8446,6053654.0876
2705,38966,CITY OF REDMOND MOC #1 PUBLIC,Electric,18080 NE 76th St,Redmond,WA,98052,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL134289,https://www.chargepoint.com,,,,,,,GPS,47.672359,-122.099034,3/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:07:54 AM,,,,,,,False,-13592002.2912,6052519.1106
2706,38976,WILLOWS LODGE WILLOWS #2,Electric,14580 NE 145th St,Woodinville,WA,98072,,Just past the main entrance on the right,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL795821,https://www.chargepoint.com,,,,,,,GPS,47.734211,-122.147041,3/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:28:59 AM,,,,,,,False,-13597346.406,6062750.3738
2786,39776,Rairdon's Nissan - Auburn,Electric,713 35th St NE,Auburn,WA,98002,,,United States,253-833-4700,Available,,Private,,Dealership business hours,,Privately Owned,,,,,,,,,,,,,,,,,,,,3,1,,"CHAdeMO, J1772, CCS",Non-Networked,,,,,,,,,Address,47.33876,-122.22087,1/12/2016 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:14 AM,Car Dealer,,,,,,,-13605565.0127,5997544.6885
2787,39780,Burien Nissan,Electric,16042 1st Ave S,Burien,WA,98148,,,United States,206-242-7070,Available,,Public,Call ahead,Dealership business hours,,Privately Owned,,,,,,,,,,,,,,,,,,,,2,1,,"CHAdeMO, J1772",Non-Networked,,,Free,,,,,,GPS,47.458152,-122.333513,3/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:14 AM,Car Dealer,,,,,,False,-13618104.3741,6017179.4161
2788,39786,Olympia Nissan,Electric,2220 Carriage Dr SW,Olympia,WA,98502,,,United States,360-352-8558,Available,,Public,Call ahead,Dealership business hours,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,1,,"CHAdeMO, J1772, CCS",Non-Networked,,,Free,,,,,,GPS,47.030919,-122.930155,3/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:14 AM,Car Dealer,,,,,,False,-13684522.2577,5947122.3013
2789,39797,Tacoma Nissan,Electric,4030 S Tacoma Way,Tacoma,WA,98409,,,United States,253-473-6200,Available,,Public,Call ahead,Dealership business hours,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,1,,"CHAdeMO, J1772, CCS",Non-Networked,,,Free,,,,,,GPS,47.21973,-122.485672,3/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:14 AM,Car Dealer,,,,,,False,-13635042.6365,5978013.6416
2790,39799,O'Brien Nissan,Electric,1395 Dalles Military Rd,Walla Walla,WA,99362,,,United States,509-529-7000,Available,,Private,,Dealership business hours,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,,,,,,,GPS,46.047279,-118.353882,6/5/2012 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:14 AM,Car Dealer,,,,,,,-13175093.8776,5787928.9529
2798,39830,Kiefer Nissan,Electric,900 NW 4th St,Corvallis,OR,97330,,,United States,541-753-1694,Available,,Public,Call ahead,Dealership business hours,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,Free,,,,,,GPS,44.57252,-123.25846,11/10/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:20:14 AM,Car Dealer,,,,,,False,-13721069.0032,5554472.7016
2799,39837,Lithia Nissan,Electric,4560 Grumman Dr,Medford,OR,97504,,,United States,541-930-3025,Available,,Public,Call ahead,Dealership business hours,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,Free,,,,,,Point,42.379969,-122.858192,3/15/2011 12:00:00 AM,2/12/2024 12:00:00 AM,2/12/2025 12:16:32 AM,Car Dealer,,,,,,False,-13676511.3732,5218067.9908
2800,39838,Rustom Nissan - Portland,Electric,1212 NE 122nd Ave,Portland,OR,97230,,,United States,503-251-3349,Available,,Public,,Dealership business hours,,Privately Owned,,,,,,,,,,,,,,,,,,,,3,,,J1772,Non-Networked,,,,,,,,,GPS,45.53199,-122.53719,6/5/2012 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:20:14 AM,Car Dealer,,,,,,True,-13640777.594,5705664.8777
2906,40383,KEY CENTER KEY CENTER 6,Electric,601 108th Ave NE,Bellevue,WA,98004,,Located on Down Ramp,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL2075181,https://www.chargepoint.com,,,,,,,GPS,47.616104,-122.19696,5/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:39:58 AM,,,,,,,False,-13602903.3637,6043224.2014
2907,40384,KRC SKYLINE SKYLINE #1,Electric,10900 NE 4th St,Bellevue,WA,98004,,Inside parking garage on right side,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL1846191,https://www.chargepoint.com,,,,,,,GPS,47.61434,-122.194037,5/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:32:54 AM,,,,,,,False,-13602577.9768,6042932.9007
2944,40752,Southern Oregon University - Lot 8,Electric,481 Stadium St,Ashland,OR,97520,,,United States,541-552-7275,Available,,Public,,24 hours daily; parking permit required; Drivers must bring their own J1772 cordset for Level 1 charging,,State/Provincial Government Owned,,,,,,,,,,,,,,,,,,,2,6,,,"J1772, NEMA 5-20",Non-Networked,,,Free,,,,,,Address,42.187149,-122.689496,8/1/2011 12:00:00 AM,12/12/2025 12:00:00 AM,12/12/2025 10:54:41 PM,College Campus,,,,,,True,-13657732.2204,5189054.8124
2945,40765,Mentor Graphics,Electric,8005 SW Boeckman Rd,Wilsonville,OR,97070,,,United States,,Available,,Private,,Employee and customer use only;  Drivers must bring their own J1772 cordset for Level 1 charging,,Privately Owned,,,,,,,,,,,,,,,,,,,1,1,,,"J1772, NEMA 5-15",Non-Networked,,,,,,,,,Address,45.317487,-122.759692,3/15/2011 12:00:00 AM,9/14/2023 12:00:00 AM,3/25/2025 3:58:29 PM,Office Building,,,,,,,-13665546.4034,5671642.5673
2967,41085,TC Chevrolet,Electric,2045 Highway 99 N,Ashland,OR,97520,,Located off of Exit 19 on Highway 99 on the north end of Ashland. Charger located outside of service bay.,United States,,Available,,Public,Call ahead,Dealership business hours,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,Free,,,,,,GPS,42.219548,-122.740005,9/15/2011 12:00:00 AM,9/14/2023 12:00:00 AM,12/18/2025 2:52:55 PM,Car Dealer,,,,,,True,-13663354.8566,5193923.6151
3016,41579,Caplan's Rainbow Parking,Electric,214 Columbia St,Seattle,WA,98104,,,United States,206-682-2991,Available,,Public,,Garage business hours; see the valet for access,,Privately Owned,,,,,,,,,,,,,,,,,,,,2,,,J1772,Non-Networked,,,Free,,,,,,Address,47.604115,-122.332907,10/1/2011 12:00:00 AM,6/13/2024 12:00:00 AM,2/12/2025 12:16:32 AM,Parking Garage,,,,,,False,-13618036.9145,6041244.5742
3042,41758,HIGHLANDCHEVRON HIGHLAND DUAL 1,Electric,14470 SW Allen Blvd,Beaverton,OR,97005,,Right side of Building-,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL424361,https://www.chargepoint.com,,,,,,,GPS,45.475962,-122.825561,10/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:21:34 AM,,,,,,,False,-13672878.9069,5696765.7948
3043,41776,CITY OF SEATAC CITY HALL 1,Electric,4800 S 188th St,SeaTac,WA,98188,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL204445,https://www.chargepoint.com,,,,,,,GPS,47.434029,-122.273288,12/31/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:49 AM,,,,,,,False,-13611400.1578,6013208.6557
3044,41779,Puget Sound Energy,Electric,3130 S 38th St,Tacoma,WA,98409,,,United States,,Available,,Private,,,,Utility Owned,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,,,,,,,GPS,47.22213,-122.478493,10/15/2011 12:00:00 AM,10/11/2024 12:00:00 AM,10/10/2025 1:29:22 PM,Utility,,,,,,,-13634243.4739,5978407.0122
3061,42044,City of Tacoma - Municipal Building,Electric,747 Market St,Tacoma,WA,98402,,Located in staff parking garage,United States,,Available,,Private,,Fleet use only,,Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,,2,,,J1772,Non-Networked,,,,,,,,,Point,47.255854,-122.44172,11/30/2011 12:00:00 AM,8/10/2023 12:00:00 AM,10/14/2025 3:52:47 PM,Municipal Government,,,,,,,-13630149.9223,5983936.409
3077,42228,BELLEVUE SBCC #2,Electric,14509 SE Newport Way,Bellevue,WA,98006,,Right-Hand Station,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL2109291,https://www.chargepoint.com,,,,,,,GPS,47.568886,-122.145268,11/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:41:18 AM,,,,,,,False,-13597149.0366,6035430.1753
3155,43303,VALLEY MED CTR MAIN LOT #5,Electric,400 S 43rd St,Renton,WA,98055,,,United States,888-758-4389,Available,,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL96239,https://www.chargepoint.com,,,,,,,GPS,47.443255,-122.212445,1/15/2012 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 12:58:33 AM,,,,,,,False,-13604627.146,6014727.0841
3225,43795,City of Renton - City Shops,Electric,3555 NE 2nd St,Renton,WA,98056,,,United States,,Available,,Private,,,,Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,,2,,,J1772,Non-Networked,,,,,,,,,Point,47.483635,-122.170748,1/12/2017 12:00:00 AM,9/12/2025 12:00:00 AM,9/12/2025 9:22:13 PM,Municipal Government,,,,,,,-13599985.4572,6021376.0181
3226,43806,TAC PW PARKING GLASS MSM CP 01,Electric,1801 Dock St,Tacoma,WA,98402,,Across from the museum elevators,United States,888-758-4389,Temporarily Unavailable,12/4/2025 12:00:00 AM,Public,,24 hours daily,,,,,,,,,,,,,,,,,,,,,,2,,,J1772,ChargePoint,USCPIL342931,https://www.chargepoint.com,,,,,,,GPS,47.245934,-122.43398,1/31/2012 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:20:23 AM,,,,,,,False,-13629288.3094,5982309.5575
3242,44137,Campbell Nissan - Everett,Electric,10500 Highway 99 S,Everett,WA,98204,,,United States,,Available,,Private,,,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,,,,,,,GPS,47.9027298164056,-122.246988372491,1/1/2014 12:00:00 AM,2/12/2024 12:00:00 AM,2/12/2025 12:16:32 AM,Car Dealer,,,,,,,-13608472.4966,6090687.7709
3243,44143,Karmart Nissan,Electric,655 Auto Blvd,Burlington,WA,98233,,,United States,360-757-2277,Available,,Public,,24 hours daily,,Privately Owned,,,,,,,,,,,,,,,,,,,,,1,,"CHAdeMO, CCS",IN_CHARGE,,https://inchargeus.com,,,,,,,Address,48.45009,-122.34423,3/26/2015 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:14 AM,Car Dealer,,,,,,True,-13619297.3851,6182063.1042
3244,44148,Bill Robertson Nissan,Electric,928 N 28th Ave,Pasco,WA,99301,,,United States,509-545-3000,Available,,Private,,,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,,,,,,,GPS,46.236757,-119.129685,3/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:14 AM,Car Dealer,,,,,,,-13261455.8726,5818371.2101
3245,44150,Bill Korum's Puyallup Nissan,Electric,101 Valley Ave NW,Puyallup,WA,98371,,,United States,253-848-4507,Available,,Private,,,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,,,,,,,GPS,47.207791,-122.294492,3/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:14 AM,Car Dealer,,,,,,,-13613760.5763,5976057.0513
3246,44151,Younker Nissan,Electric,3401 E Valley Rd,Renton,WA,98058,,,United States,,Available,,Private,,,,Privately Owned,,,,,,,,,,,,,,,,,,,,1,,,J1772,Non-Networked,,,,,,,,,GPS,47.448416,-122.218892,3/15/2011 12:00:00 AM,1/13/2026 12:00:00 AM,1/13/2026 1:16:14 AM,Car Dealer,,,,,,,-13605344.8228,6015576.6051
3247,44153,City of Seattle - Central Library,Electric,1000 4th Ave,Seattle,WA,98104,,,United States,206-386-4636,Available,,Public,,24 hours daily,,Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,,3,,,J1772,Non-Networked,,,$2 per session,,,,,,Point,47.606684,-122.332664,12/1/2011 12:00:00 AM,11/6/2024 12:00:00 AM,10/29/2025 1:53:23 PM,Library,,,,,,False,-13618009.8639,6041668.73
3248,44156,City of Seattle - Muni Tower,Electric,700 5th Ave,Seattle,WA,98124,,,United States,,Available,,Private,,,,Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,,32,,,J1772,Non-Networked,,,,,,,,,Address,47.604906,-122.330278,12/31/2011 12:00:00 AM,11/6/2024 12:00:00 AM,10/29/2025 1:53:23 PM,Office Building,,,,,,,-13617744.2556,6041375.1704
3249,44158,City of Seattle - Parking Enforcement Division,Electric,2203 Airport Way S,Seattle,WA,98134,,,United States,,Available,,Private,,,,Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,,13,,,J1772,Non-Networked,,,,,,,,,Point,47.582934,-122.323106,12/31/2011 12:00:00 AM,11/6/2024 12:00:00 AM,10/29/2025 1:53:23 PM,Municipal Government,,,,,,,-13616945.8722,6037748.2698
3250,44159,City of Seattle - Seattle Center,Electric,516 Harrison St,Seattle,WA,98109,,Located in the 5th Ave Garage,United States,206-684-7340,Available,,Public,Credit card at all times,24 hours daily; parking fee,"American Express, Discover, MasterCard, Visa",Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,,6,,,J1772,Non-Networked,,,Free,,,,,,Address,47.622085,-122.347124,12/1/2011 12:00:00 AM,11/6/2024 12:00:00 AM,10/29/2025 1:53:23 PM,Municipal Government,,,,,,False,-13619619.5437,6044211.9556
3251,44160,City of Seattle - Seattle City Light North Service Center,Electric,1300 N 97th St,Seattle,WA,98103,,,United States,,Available,,Private,,,,Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,,4,,,J1772,Non-Networked,,,,,,,,,Address,47.699613,-122.341922,12/31/2011 12:00:00 AM,11/6/2024 12:00:00 AM,10/29/2025 1:53:23 PM,Utility,,,,,,,-13619040.4597,6057025.8415
3252,44162,City of Seattle - Seattle Water Ops,Electric,2700 Airport Way S,Seattle,WA,98134,,,United States,,Available,,Private,,,,Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,,4,,,J1772,Non-Networked,,,,,,,,,Address,47.57952,-122.321401,12/31/2011 12:00:00 AM,11/6/2024 12:00:00 AM,10/29/2025 1:53:23 PM,Utility,,,,,,,-13616756.0724,6037184.8602
3253,44163,City of Seattle - West Bridge,Electric,4209 W Marginal Way SW,Seattle,WA,98106,,,United States,,Available,,Private,,,,Local/Municipal Government Owned,,,,,,,,,,,,,,,,,,,,2,,,J1772,Non-Networked,,,,,,,,,Address,47.565149,-122.353024,12/31/2011 12:00:00 AM,11/6/2024 12:00:00 AM,10/29/2025 1:53:23 PM,Municipal Government,,,,,,,-13620276.3287,6034813.6286
